student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_difficulty,reading_difficulty,writing_difficulty
S1365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,0.92,0.62,0.74
S1366,male,group C,high school,standard,completed,69,58,53,0.8,0.84,0.65
S1367,male,group C,bachelor's degree,free/reduced,none,61,66,61,0.7,0.89,0.81
S1368,female,group A,some high school,free/reduced,none,44,64,58,0.73,0.66,0.89
S1369,female,group D,some high school,standard,none,73,84,85,0.99,0.66,0.6
S1370,male,group E,some college,standard,none,84,77,71,0.52,0.86,0.9
S1371,female,group C,some college,free/reduced,completed,45,73,70,0.6,0.88,0.5
S1372,male,group D,some high school,standard,none,74,74,72,0.6,0.64,0.54
S1373,female,group D,some college,standard,completed,82,97,96,0.75,0.98,0.77
S1374,female,group D,bachelor's degree,standard,none,59,70,73,0.85,0.65,0.63
S1375,male,group E,associate's degree,free/reduced,none,46,43,41,0.94,0.91,0.54
S1376,female,group D,some high school,standard,none,80,90,82,0.58,0.74,0.53
S1377,female,group D,master's degree,free/reduced,completed,85,95,100,0.5,0.65,0.84
S1378,female,group A,some high school,standard,none,71,83,77,0.53,0.81,0.65
S1379,male,group A,bachelor's degree,standard,none,66,64,62,0.96,0.63,0.47
S1380,female,group B,associate's degree,standard,none,80,86,83,0.73,0.87,0.5
S1381,male,group C,associate's degree,standard,completed,87,100,95,0.95,0.78,0.77
S1382,male,group C,master's degree,free/reduced,none,79,81,71,0.52,0.64,0.74
S1383,female,group E,some high school,free/reduced,none,38,49,45,0.61,0.66,0.62
S1384,female,group A,some high school,free/reduced,none,38,43,43,0.86,0.95,0.5
S1385,female,group E,some college,standard,none,67,76,75,0.77,0.92,0.68
S1386,female,group E,bachelor's degree,standard,none,64,73,70,0.52,0.69,0.56
S1387,female,group C,associate's degree,free/reduced,none,57,78,67,0.92,0.83,0.58
S1388,female,group D,high school,standard,none,62,64,64,0.73,0.92,0.53
S1389,male,group D,master's degree,standard,none,73,70,75,0.78,0.66,0.56
S1390,male,group E,some high school,free/reduced,completed,73,67,59,0.73,0.7,0.78
S1391,female,group D,some college,standard,none,77,68,77,0.99,0.91,0.57
S1392,male,group E,some college,standard,none,76,67,67,0.54,0.61,0.87
S1393,male,group C,associate's degree,standard,completed,57,54,56,0.98,0.81,0.65
S1394,female,group C,some high school,standard,completed,65,74,77,0.9,0.62,0.66
S1395,male,group A,high school,free/reduced,none,48,45,41,0.8,0.68,0.44
S1396,female,group B,high school,free/reduced,none,50,67,63,0.56,0.79,0.69
S1397,female,group C,associate's degree,standard,none,85,89,95,0.78,0.83,0.82
S1398,male,group B,some high school,standard,none,74,63,57,0.59,0.66,0.42
S1399,male,group D,some high school,standard,none,60,59,54,0.59,0.63,0.85
S1400,female,group C,some high school,standard,completed,59,54,67,0.88,0.85,0.71
S1401,male,group A,some college,standard,none,53,43,43,0.86,0.91,0.77
S1402,female,group A,some college,free/reduced,none,49,65,55,0.78,0.73,0.66
S1403,female,group D,high school,standard,completed,88,99,100,0.98,0.66,0.85
S1404,female,group C,high school,standard,none,54,59,62,0.71,0.72,0.44
S1405,female,group C,some high school,standard,none,63,73,68,0.83,0.97,0.56
S1406,male,group B,associate's degree,standard,completed,65,65,63,0.5,0.69,0.52
S1407,female,group B,associate's degree,standard,none,82,80,77,0.99,0.9,0.55
S1408,female,group D,high school,free/reduced,completed,52,57,56,0.7,0.63,0.59
S1409,male,group D,associate's degree,standard,completed,87,84,85,0.56,0.62,0.4
S1410,female,group D,master's degree,standard,completed,70,71,74,0.52,0.78,0.63
S1411,male,group E,some college,standard,completed,84,83,78,0.9,0.64,0.66
S1412,male,group D,associate's degree,standard,none,71,66,60,0.84,0.83,0.53
S1413,male,group B,some high school,standard,completed,63,67,67,0.57,0.86,0.89
S1414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,0.92,0.79,0.48
S1415,male,group E,high school,standard,none,84,73,69,0.97,0.89,0.63
S1416,male,group C,bachelor's degree,standard,completed,71,74,68,0.68,0.6,0.5
S1417,male,group C,associate's degree,standard,none,74,73,67,0.97,0.93,0.58
S1418,male,group D,some college,standard,none,68,59,62,0.55,0.62,0.75
S1419,male,group E,high school,free/reduced,completed,57,56,54,0.77,0.91,0.48
S1420,female,group C,associate's degree,free/reduced,completed,82,93,93,0.64,0.92,0.5
S1421,female,group D,high school,standard,completed,57,58,64,0.64,0.72,0.85
S1422,female,group D,master's degree,free/reduced,completed,47,58,67,0.7,0.66,0.57
S1423,female,group A,some high school,standard,completed,59,85,80,0.94,0.92,0.7
S1424,male,group B,some college,free/reduced,none,41,39,34,0.54,0.91,0.81
S1425,female,group C,some college,free/reduced,none,62,67,62,0.7,0.69,0.73
S1426,male,group C,bachelor's degree,standard,none,86,83,86,0.73,0.92,0.55
S1427,male,group C,some high school,free/reduced,none,69,71,65,0.65,0.9,0.54
S1428,male,group A,some high school,free/reduced,none,65,59,53,0.79,0.92,0.72
S1429,male,group C,some high school,free/reduced,none,68,63,54,0.74,0.78,0.47
S1430,male,group C,associate's degree,free/reduced,none,64,66,59,0.86,0.78,0.67
S1431,female,group C,high school,standard,none,61,72,70,0.92,0.93,0.8
S1432,male,group C,high school,standard,none,61,56,55,0.6,0.72,0.53
S1433,female,group A,some high school,free/reduced,none,47,59,50,0.85,0.64,0.61
S1434,male,group C,some high school,standard,none,73,66,66,0.61,0.82,0.51
S1435,male,group C,some college,free/reduced,completed,50,48,53,0.74,1,0.59
S1436,male,group D,associate's degree,standard,none,75,68,64,0.71,0.7,0.4
S1437,male,group D,associate's degree,free/reduced,none,75,66,73,0.86,0.86,0.58
S1438,male,group C,high school,standard,none,70,56,51,0.92,0.69,0.41
S1439,male,group D,some high school,standard,completed,89,88,82,0.87,0.84,0.71
S1440,female,group C,some college,standard,completed,67,81,79,0.52,0.73,0.84
S1441,female,group D,high school,standard,none,78,81,80,0.99,0.97,0.77
S1442,female,group A,some high school,free/reduced,none,59,73,69,0.71,0.73,0.82
S1443,female,group B,associate's degree,standard,none,73,83,76,0.82,0.67,0.76
S1444,male,group A,some high school,free/reduced,none,79,82,73,0.61,0.85,0.7
S1445,female,group C,some high school,standard,completed,67,74,77,0.71,0.7,0.48
S1446,male,group D,some college,free/reduced,none,69,66,60,0.91,0.91,0.68
S1447,male,group C,high school,standard,completed,86,81,80,0.71,0.78,0.71
S1448,male,group B,high school,standard,none,47,46,42,0.7,0.89,0.52
S1449,male,group B,associate's degree,standard,none,81,73,72,0.8,0.99,0.43
S1450,female,group C,some college,free/reduced,completed,64,85,85,0.74,0.96,0.79
S1451,female,group E,some college,standard,none,100,92,97,0.93,0.95,0.43
S1452,female,group C,associate's degree,free/reduced,none,65,77,74,0.66,0.75,0.59
S1453,male,group C,some college,free/reduced,none,65,58,49,0.81,0.87,0.78
S1454,female,group C,associate's degree,free/reduced,none,53,61,62,0.68,0.76,0.72
S1455,male,group C,bachelor's degree,free/reduced,none,37,56,47,0.8,0.71,0.54
S1456,female,group D,bachelor's degree,standard,none,79,89,89,0.7,0.62,0.83
S1457,male,group D,associate's degree,free/reduced,none,53,54,48,0.86,0.74,0.46
S1458,female,group E,bachelor's degree,standard,none,100,100,100,0.66,0.66,0.45
S1459,male,group B,high school,standard,completed,72,65,68,0.95,0.61,0.72
S1460,male,group C,bachelor's degree,free/reduced,none,53,58,55,0.8,0.88,0.8
S1461,male,group B,some college,free/reduced,none,54,54,45,0.81,0.94,0.48
S1462,female,group E,some college,standard,none,71,70,76,0.79,0.97,0.49
S1463,female,group C,some college,free/reduced,none,77,90,91,0.55,0.99,0.41
S1464,male,group A,bachelor's degree,standard,completed,75,58,62,0.98,0.83,0.78
S1465,female,group C,some college,standard,none,84,87,91,0.72,0.77,0.53
S1466,female,group D,associate's degree,free/reduced,none,26,31,38,0.85,0.89,0.87
S1467,male,group A,high school,free/reduced,completed,72,67,65,0.87,0.99,0.41
S1468,female,group A,high school,free/reduced,completed,77,88,85,0.54,0.68,0.89
S1469,male,group C,some college,standard,none,91,74,76,0.78,0.64,0.59
S1470,female,group C,associate's degree,standard,completed,83,85,90,0.72,0.83,0.78
S1471,female,group C,high school,standard,none,63,69,74,0.61,0.84,0.66
S1472,female,group C,associate's degree,standard,completed,68,86,84,0.8,0.99,0.43
S1473,female,group D,some high school,standard,none,59,67,61,0.66,0.68,0.77
S1474,female,group B,associate's degree,standard,completed,90,90,91,0.84,0.71,0.54
S1475,female,group D,bachelor's degree,standard,completed,71,76,83,0.56,0.91,0.77
S1476,male,group E,bachelor's degree,standard,completed,76,62,66,0.63,0.72,0.74
S1477,male,group D,associate's degree,standard,none,80,68,72,0.65,0.8,0.6
S1478,female,group D,master's degree,standard,none,55,64,70,0.62,0.9,0.48
S1479,male,group E,associate's degree,standard,none,76,71,67,0.52,0.92,0.85
S1480,male,group B,high school,standard,completed,73,71,68,0.94,0.7,0.65
S1481,female,group D,associate's degree,free/reduced,none,52,59,56,0.81,0.7,0.82
S1482,male,group C,some college,free/reduced,none,68,68,61,0.59,0.99,0.48
S1483,male,group A,high school,standard,none,59,52,46,0.83,0.97,0.79
S1484,female,group B,associate's degree,standard,none,49,52,54,0.86,0.8,0.78
S1485,male,group C,high school,standard,none,70,74,71,0.6,0.86,0.5
S1486,male,group D,some college,free/reduced,none,61,47,56,0.81,0.65,0.59
S1487,female,group C,associate's degree,free/reduced,none,60,75,74,0.62,0.77,0.79
S1488,male,group B,some high school,standard,completed,64,53,57,0.51,0.7,0.53
S1489,male,group A,associate's degree,free/reduced,completed,79,82,82,0.79,0.82,0.77
S1490,female,group A,associate's degree,free/reduced,none,65,85,76,0.9,0.77,0.74
S1491,female,group C,associate's degree,standard,none,64,64,70,0.53,0.85,0.64
S1492,female,group C,some college,standard,none,83,83,90,0.78,0.87,0.67
S1493,female,group C,bachelor's degree,standard,none,81,88,90,0.98,0.71,0.45
S1494,female,group B,high school,standard,none,54,64,68,0.56,0.64,0.85
S1495,male,group D,high school,standard,completed,68,64,66,0.61,0.7,0.46
S1496,female,group C,some college,standard,none,54,48,52,0.89,0.67,0.5
S1497,female,group D,some college,free/reduced,completed,59,78,76,0.58,0.74,0.58
S1498,female,group B,some high school,standard,none,66,69,68,0.55,0.97,0.88
S1499,male,group E,some college,standard,none,76,71,72,0.72,0.74,0.59
S1500,female,group D,master's degree,standard,none,74,79,82,0.79,0.74,0.7
S1501,female,group B,associate's degree,standard,completed,94,87,92,0.93,0.86,0.69
S1502,male,group C,some college,free/reduced,none,63,61,54,0.62,0.63,0.55
S1503,female,group E,associate's degree,standard,completed,95,89,92,0.79,0.6,0.54
S1504,female,group D,master's degree,free/reduced,none,40,59,54,0.92,0.72,0.53
S1505,female,group B,some high school,standard,none,82,82,80,0.56,0.96,0.84
S1506,male,group A,high school,standard,none,68,70,66,0.91,0.96,0.63
S1507,male,group B,bachelor's degree,free/reduced,none,55,59,54,0.57,0.64,0.8
S1508,male,group C,master's degree,standard,none,79,78,77,0.73,0.99,0.87
S1509,female,group C,bachelor's degree,standard,none,86,92,87,0.83,0.86,0.57
S1510,male,group D,some college,standard,none,76,71,73,0.79,0.88,0.53
S1511,male,group A,some high school,standard,none,64,50,43,0.66,0.91,0.51
S1512,male,group D,some high school,free/reduced,none,62,49,52,0.97,0.8,0.77
S1513,female,group B,some high school,standard,completed,54,61,62,0.7,0.61,0.66
S1514,female,group B,master's degree,free/reduced,completed,77,97,94,0.51,0.95,0.68
S1515,female,group C,some high school,standard,completed,76,87,85,0.6,0.82,0.81
S1516,female,group D,some college,standard,none,74,89,84,0.71,0.76,0.43
S1517,female,group E,some college,standard,completed,66,74,73,0.91,0.77,0.84
S1518,female,group D,some high school,standard,completed,66,78,78,0.81,0.87,0.54
S1519,female,group B,high school,free/reduced,completed,67,78,79,0.61,0.97,0.78
S1520,male,group D,some college,standard,none,71,49,52,0.96,0.73,0.55
S1521,female,group C,associate's degree,standard,none,91,86,84,0.5,0.69,0.89
S1522,male,group D,bachelor's degree,standard,none,69,58,57,0.74,0.69,0.46
S1523,male,group C,master's degree,free/reduced,none,54,59,50,0.97,0.94,0.75
S1524,male,group C,high school,standard,completed,53,52,49,0.5,0.85,0.89
S1525,male,group E,some college,standard,none,68,60,59,0.66,0.93,0.49
S1526,male,group C,some high school,free/reduced,completed,56,61,60,0.64,0.83,0.69
S1527,female,group C,high school,free/reduced,none,36,53,43,0.94,0.75,0.72
S1528,female,group D,bachelor's degree,free/reduced,none,29,41,47,0.86,0.78,0.71
S1529,female,group C,associate's degree,standard,none,62,74,70,0.87,0.6,0.55
S1530,female,group C,associate's degree,standard,completed,68,67,73,0.59,0.9,0.88
S1531,female,group C,some high school,standard,none,47,54,53,0.61,0.86,0.64
S1532,male,group E,associate's degree,standard,completed,62,61,58,0.66,0.61,0.81
S1533,female,group E,associate's degree,standard,completed,79,88,94,0.62,0.94,0.82
S1534,male,group B,high school,standard,completed,73,69,68,0.8,0.82,0.51
S1535,female,group C,bachelor's degree,free/reduced,completed,66,83,83,0.59,0.75,0.74
S1536,male,group C,associate's degree,standard,completed,51,60,58,0.63,0.68,0.7
S1537,female,group D,high school,standard,none,51,66,62,0.77,0.82,0.76
S1538,male,group E,bachelor's degree,standard,completed,85,66,71,0.91,0.7,0.59
S1539,male,group A,associate's degree,standard,completed,97,92,86,0.99,0.78,0.56
S1540,male,group C,high school,standard,completed,75,69,68,0.88,0.75,0.8
S1541,male,group D,associate's degree,free/reduced,completed,79,82,80,0.55,0.66,0.68
S1542,female,group C,associate's degree,standard,none,81,77,79,0.55,0.66,0.58
S1543,female,group D,associate's degree,standard,none,82,95,89,0.55,0.72,0.45
S1544,female,group D,master's degree,standard,none,64,63,66,0.78,0.73,0.87
S1545,male,group E,some high school,free/reduced,completed,78,83,80,0.67,0.77,0.61
S1546,female,group A,some high school,standard,completed,92,100,97,0.57,0.74,0.47
S1547,male,group C,high school,standard,completed,72,67,64,0.56,0.95,0.79
S1548,female,group C,high school,free/reduced,none,62,67,64,0.74,0.86,0.65
S1549,male,group C,master's degree,standard,none,79,72,69,0.95,1,0.42
S1550,male,group C,some high school,free/reduced,none,79,76,65,0.61,0.68,0.61
S1551,male,group B,bachelor's degree,free/reduced,completed,87,90,88,0.88,0.65,0.41
S1552,female,group B,associate's degree,standard,none,40,48,50,0.7,0.73,0.77
S1553,male,group D,some college,free/reduced,none,77,62,64,0.8,0.97,0.64
S1554,male,group E,associate's degree,standard,none,53,45,40,0.71,0.8,0.76
S1555,female,group C,some college,free/reduced,none,32,39,33,0.71,0.83,0.65
S1556,female,group C,associate's degree,standard,completed,55,72,79,0.82,0.87,0.55
S1557,male,group C,master's degree,free/reduced,none,61,67,66,0.89,0.85,0.45
S1558,female,group B,associate's degree,free/reduced,none,53,70,70,0.99,0.61,0.8
S1559,male,group D,some high school,standard,none,73,66,62,0.87,0.91,0.83
S1560,female,group D,some college,standard,completed,74,75,79,0.88,0.69,0.64
S1561,female,group C,some college,standard,none,63,74,74,0.96,0.6,0.69
S1562,male,group C,bachelor's degree,standard,completed,96,90,92,0.97,0.7,0.89
S1563,female,group D,some college,free/reduced,completed,63,80,80,0.84,0.64,0.8
S1564,male,group B,bachelor's degree,free/reduced,none,48,51,46,0.54,0.87,0.63
S1565,male,group B,associate's degree,standard,none,48,43,45,0.91,0.86,0.89
S1566,female,group E,bachelor's degree,free/reduced,completed,92,100,100,0.99,0.72,0.51
S1567,female,group D,master's degree,free/reduced,completed,61,71,78,0.62,0.95,0.81
S1568,male,group B,high school,free/reduced,none,63,48,47,0.67,0.66,0.88
S1569,male,group D,bachelor's degree,free/reduced,none,68,68,67,0.57,0.87,0.66
S1570,male,group B,some college,standard,completed,71,75,70,0.83,0.92,0.78
S1571,male,group A,bachelor's degree,standard,none,91,96,92,1,0.98,0.46
S1572,female,group C,some college,standard,none,53,62,56,0.56,0.91,0.45
S1573,female,group C,high school,free/reduced,completed,50,66,64,0.97,0.85,0.45
S1574,female,group E,high school,standard,none,74,81,71,0.72,1,0.52
S1575,male,group A,associate's degree,free/reduced,completed,40,55,53,0.57,0.76,0.66
S1576,male,group A,some college,standard,completed,61,51,52,0.83,0.7,0.8
S1577,female,group B,high school,standard,none,81,91,89,0.99,0.63,0.88
S1578,female,group B,some college,free/reduced,completed,48,56,58,0.89,0.83,0.81
S1579,female,group D,master's degree,standard,none,53,61,68,0.51,0.98,0.73
S1580,female,group D,some high school,standard,none,81,97,96,0.94,0.61,0.8
S1581,female,group E,some high school,standard,none,77,79,80,0.85,0.74,0.69
S1582,female,group D,bachelor's degree,free/reduced,none,63,73,78,0.99,0.76,0.88
S1583,female,group D,associate's degree,standard,completed,73,75,80,0.99,0.79,0.46
S1584,female,group D,some college,standard,none,69,77,77,0.86,0.74,0.47
S1585,female,group C,associate's degree,standard,none,65,76,76,0.72,0.84,0.82
S1586,female,group A,high school,standard,none,55,73,73,0.85,0.76,0.68
S1587,female,group C,bachelor's degree,free/reduced,none,44,63,62,0.51,0.77,0.81
S1588,female,group C,some college,standard,none,54,64,65,0.64,0.8,0.46
S1589,female,group A,some high school,standard,none,48,66,65,0.79,0.7,0.73
S1590,male,group C,some college,free/reduced,none,58,57,54,0.88,0.97,0.79
S1591,male,group A,some high school,standard,none,71,62,50,0.5,0.63,0.42
S1592,male,group E,bachelor's degree,standard,none,68,68,64,0.78,0.68,0.8
S1593,female,group E,high school,standard,none,74,76,73,0.8,0.77,0.77
S1594,female,group C,bachelor's degree,standard,completed,92,100,99,0.77,0.74,0.62
S1595,female,group C,bachelor's degree,standard,completed,56,79,72,0.6,0.98,0.42
S1596,male,group B,high school,free/reduced,none,30,24,15,0.6,0.85,0.44
S1597,male,group A,some high school,standard,none,53,54,48,0.77,0.84,0.61
S1598,female,group D,high school,standard,none,69,77,73,0.96,0.73,0.47
S1599,female,group D,some high school,standard,none,65,82,81,0.64,0.79,0.46
S1600,female,group D,master's degree,standard,none,54,60,63,0.85,0.66,0.53
S1601,female,group C,high school,standard,none,29,29,30,0.91,0.7,0.86
S1602,female,group E,some college,standard,none,76,78,80,0.71,0.89,0.49
S1603,male,group D,high school,free/reduced,none,60,57,51,0.81,0.6,0.85
S1604,male,group D,master's degree,free/reduced,completed,84,89,90,0.87,0.72,0.73
S1605,male,group C,some high school,standard,none,75,72,62,0.75,0.96,0.8
S1606,female,group C,associate's degree,standard,none,85,84,82,0.84,0.68,0.61
S1607,female,group C,master's degree,free/reduced,none,40,58,54,0.8,0.96,0.53
S1608,female,group E,some college,standard,none,61,64,62,0.96,0.92,0.75
S1609,female,group B,associate's degree,standard,none,58,63,65,0.93,0.68,0.86
S1610,male,group D,some college,free/reduced,completed,69,60,63,0.52,0.79,0.68
S1611,female,group C,some college,standard,none,58,59,66,0.88,0.62,0.89
S1612,male,group C,bachelor's degree,standard,completed,94,90,91,0.61,0.63,0.71
S1613,female,group C,associate's degree,standard,none,65,77,74,0.94,0.76,0.49
S1614,female,group A,associate's degree,standard,none,82,93,93,0.88,0.86,0.5
S1615,female,group C,high school,standard,none,60,68,72,0.53,0.81,0.46
S1616,female,group E,bachelor's degree,standard,none,37,45,38,0.58,0.67,0.76
S1617,male,group D,bachelor's degree,standard,none,88,78,83,0.58,0.96,0.67
S1618,male,group D,master's degree,standard,none,95,81,84,0.86,0.79,0.64
S1619,male,group C,associate's degree,free/reduced,completed,65,73,68,0.98,0.77,0.8
S1620,female,group C,high school,free/reduced,none,35,61,54,0.73,0.63,0.64
S1621,male,group B,bachelor's degree,free/reduced,none,62,63,56,0.65,0.77,0.87
S1622,male,group C,high school,free/reduced,completed,58,51,52,0.53,0.88,0.58
S1623,male,group A,some college,standard,completed,100,96,86,0.59,0.86,0.79
S1624,female,group E,bachelor's degree,free/reduced,none,61,58,62,0.9,0.99,0.49
S1625,male,group D,some college,standard,completed,100,97,99,0.92,0.73,0.84
S1626,male,group B,associate's degree,free/reduced,completed,69,70,63,0.61,0.67,0.44
S1627,male,group D,associate's degree,standard,none,61,48,46,0.65,0.76,0.84
S1628,male,group D,some college,free/reduced,none,49,57,46,0.69,0.78,0.63
S1629,female,group C,some high school,standard,completed,44,51,55,0.52,0.81,0.82
S1630,male,group D,some college,standard,none,67,64,70,0.96,0.9,0.5
S1631,male,group B,high school,standard,none,79,60,65,0.8,0.95,0.54
S1632,female,group B,bachelor's degree,standard,completed,66,74,81,0.7,0.85,0.9
S1633,female,group C,high school,standard,none,75,88,85,0.99,0.77,0.68
S1634,male,group D,some high school,standard,none,84,84,80,0.74,0.66,0.41
S1635,male,group A,high school,standard,none,71,74,64,0.95,0.92,0.55
S1636,female,group B,high school,free/reduced,completed,67,80,81,0.75,0.94,0.48
S1637,female,group D,some high school,standard,completed,80,92,88,0.76,0.73,0.57
S1638,male,group E,some college,standard,none,86,76,74,0.61,0.81,0.7
S1639,female,group D,associate's degree,standard,none,76,74,73,0.98,0.83,0.58
S1640,male,group D,high school,standard,none,41,52,51,0.89,0.85,0.68
S1641,female,group D,associate's degree,free/reduced,completed,74,88,90,0.69,0.93,0.66
S1642,female,group B,some high school,free/reduced,none,72,81,79,0.9,1,0.82
S1643,female,group E,high school,standard,completed,74,79,80,0.96,0.85,0.45
S1644,male,group B,high school,standard,none,70,65,60,0.61,0.91,0.74
S1645,female,group B,bachelor's degree,standard,completed,65,81,81,0.95,0.79,0.5
S1646,female,group D,associate's degree,standard,none,59,70,65,0.97,0.63,0.52
S1647,female,group E,high school,free/reduced,none,64,62,68,0.75,0.73,0.65
S1648,female,group B,high school,standard,none,50,53,55,0.93,0.62,0.56
S1649,female,group D,some college,standard,completed,69,79,81,0.75,0.97,0.58
S1650,male,group C,some high school,free/reduced,completed,51,56,53,0.54,0.83,0.83
S1651,female,group A,high school,standard,completed,68,80,76,0.62,0.97,0.62
S1652,female,group D,some college,standard,completed,85,86,98,0.57,0.94,0.5
S1653,female,group A,associate's degree,standard,completed,65,70,74,0.58,0.98,0.67
S1654,female,group B,some high school,standard,none,73,79,79,0.74,0.67,0.57
S1655,female,group B,some college,standard,none,62,67,67,0.98,0.82,0.88
S1656,male,group C,associate's degree,free/reduced,none,77,67,64,0.89,0.89,0.42
S1657,male,group D,some high school,standard,none,69,66,61,0.66,0.76,0.58
S1658,female,group D,associate's degree,free/reduced,none,43,60,58,0.67,0.62,0.85
S1659,male,group D,associate's degree,standard,none,90,87,85,0.62,0.88,0.71
S1660,male,group C,some college,free/reduced,none,74,77,73,0.8,0.9,0.85
S1661,male,group C,some high school,standard,none,73,66,63,0.98,0.63,0.44
S1662,female,group D,some college,free/reduced,none,55,71,69,0.92,0.68,0.5
S1663,female,group C,high school,standard,none,65,69,67,0.59,0.94,0.84
S1664,male,group D,associate's degree,standard,none,80,63,63,0.92,0.7,0.62
S1665,female,group C,some high school,free/reduced,completed,50,60,60,0.81,0.73,0.71
S1666,female,group C,some college,free/reduced,completed,63,73,71,0.6,0.77,0.78
S1667,female,group B,bachelor's degree,free/reduced,none,77,85,87,0.57,0.7,0.87
S1668,male,group C,some college,standard,none,73,74,61,0.87,0.99,0.62
S1669,male,group D,associate's degree,standard,completed,81,72,77,0.85,0.72,0.74
S1670,female,group C,high school,free/reduced,none,66,76,68,0.61,0.74,0.75
S1671,male,group D,associate's degree,free/reduced,none,52,57,50,0.74,0.88,0.62
S1672,female,group C,some college,standard,none,69,78,76,0.52,0.69,0.84
S1673,female,group C,associate's degree,standard,completed,65,84,84,0.7,0.76,0.75
S1674,female,group D,high school,standard,completed,69,77,78,0.84,0.99,0.42
S1675,female,group B,some college,standard,completed,50,64,66,0.71,0.97,0.47
S1676,female,group E,some college,standard,completed,73,78,76,0.74,0.92,0.84
S1677,female,group C,some high school,standard,completed,70,82,76,0.97,0.74,0.44
S1678,male,group D,associate's degree,free/reduced,none,81,75,78,0.92,0.7,0.67
S1679,male,group D,some college,free/reduced,none,63,61,60,0.84,0.6,0.6
S1680,female,group D,high school,standard,none,67,72,74,0.94,0.8,0.44
S1681,male,group B,high school,standard,none,60,68,60,0.8,0.62,0.45
S1682,male,group B,high school,standard,none,62,55,54,0.71,0.95,0.48
S1683,female,group C,some high school,free/reduced,completed,29,40,44,0.74,0.89,0.6
S1684,male,group B,some college,standard,completed,62,66,68,0.97,0.74,0.86
S1685,female,group E,master's degree,standard,completed,94,99,100,0.91,0.71,0.78
S1686,male,group E,some college,standard,completed,85,75,68,0.8,0.67,0.74
S1687,male,group D,associate's degree,free/reduced,none,77,78,73,0.78,0.9,0.88
S1688,male,group A,high school,free/reduced,none,53,58,44,0.66,0.61,0.41
S1689,male,group E,some college,free/reduced,none,93,90,83,0.71,0.92,0.81
S1690,female,group C,associate's degree,standard,none,49,53,53,0.74,1,0.72
S1691,female,group E,associate's degree,free/reduced,none,73,76,78,0.99,0.83,0.76
S1692,female,group C,bachelor's degree,free/reduced,completed,66,74,81,0.63,0.69,0.62
S1693,female,group D,associate's degree,standard,none,77,77,73,0.79,0.83,0.8
S1694,female,group C,some high school,standard,none,49,63,56,0.54,0.61,0.77
S1695,female,group D,some college,free/reduced,none,79,89,86,0.68,0.79,0.6
S1696,female,group C,associate's degree,standard,completed,75,82,90,0.93,0.63,0.89
S1697,female,group A,bachelor's degree,standard,none,59,72,70,0.87,0.97,0.44
S1698,female,group D,associate's degree,standard,completed,57,78,79,0.75,0.64,0.81
S1699,male,group C,high school,free/reduced,none,66,66,59,0.94,0.61,0.86
S1700,female,group E,bachelor's degree,standard,completed,79,81,82,0.55,0.68,0.64
S1701,female,group B,some high school,standard,none,57,67,72,0.73,0.94,0.47
S1702,male,group A,bachelor's degree,standard,completed,87,84,87,0.68,0.87,0.51
S1703,female,group D,some college,standard,none,63,64,67,0.56,0.66,0.57
S1704,female,group B,some high school,free/reduced,completed,59,63,64,0.62,0.9,0.67
S1705,male,group A,bachelor's degree,free/reduced,none,62,72,65,0.96,0.96,0.7
S1706,male,group D,high school,standard,none,46,34,36,0.56,0.62,0.82
S1707,male,group C,some college,standard,none,66,59,52,0.63,0.73,0.77
S1708,male,group D,high school,standard,none,89,87,79,0.98,0.8,0.43
S1709,female,group D,associate's degree,free/reduced,completed,42,61,58,0.7,0.88,0.9
S1710,male,group C,some college,standard,completed,93,84,90,0.91,0.8,0.47
S1711,female,group E,some high school,standard,completed,80,85,85,0.61,0.78,0.61
S1712,female,group D,some college,standard,none,98,100,99,0.81,0.98,0.65
S1713,male,group D,master's degree,standard,none,81,81,84,0.98,0.94,0.47
S1714,female,group B,some high school,standard,completed,60,70,74,0.62,0.85,0.84
S1715,female,group B,associate's degree,free/reduced,completed,76,94,87,0.62,0.64,0.89
S1716,male,group C,associate's degree,standard,completed,73,78,72,0.66,0.86,0.89
S1717,female,group C,associate's degree,standard,completed,96,96,99,0.89,0.87,0.88
S1718,female,group C,high school,standard,none,76,76,74,0.61,0.78,0.75
S1719,male,group E,associate's degree,free/reduced,completed,91,73,80,0.51,0.6,0.69
S1720,female,group C,some college,free/reduced,none,62,72,70,0.91,0.66,0.58
S1721,male,group D,some high school,free/reduced,completed,55,59,59,0.96,0.94,0.49
S1722,female,group B,some high school,free/reduced,completed,74,90,88,0.57,0.61,0.65
S1723,male,group C,high school,standard,none,50,48,42,0.87,0.92,0.56
S1724,male,group B,some college,standard,none,47,43,41,0.79,0.96,0.58
S1725,male,group E,some college,standard,completed,81,74,71,0.83,0.7,0.41
S1726,female,group E,associate's degree,standard,completed,65,75,77,0.78,0.86,0.47
S1727,male,group E,some high school,standard,completed,68,51,57,0.74,0.83,0.89
S1728,female,group D,high school,free/reduced,none,73,92,84,0.84,0.89,0.43
S1729,male,group C,some college,standard,none,53,39,37,0.69,0.89,0.61
S1730,female,group B,associate's degree,free/reduced,completed,68,77,80,0.89,0.97,0.63
